sofifa_id,player_url,short_name,Name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
221841,https://sofifa.com/player/221841/adam-armstrong/220002,A. Armstrong,Adam Armstrong,Adam Armstrong,"ST, LW",76,82,1.20E+07,46000,24,2/10/1997,172,69,17,Southampton,English Premier League,1,LS,9,NA,8/10/2021,2025,14,England,NA,NA,NA,Right,4,3,1,High/Low,Normal (170-185),Yes,25200000,#Speedster,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI)",90,77,66,76,35,71,62,79,66,70,68,74,69,63,58,74,93,88,87,76,90,76,84,81,61,76,79,41,78,67,71,75,36,23,25,10,13,13,12,7,NA,76+2,76+2,76+2,76,76,76,76,76,74+2,74+2,74+2,74+2,67+2,67+2,67+2,74+2,59+2,55+2,55+2,55+2,59+2,56+2,50+2,50+2,50+2,56+2,18+2,https://cdn.sofifa.net/players/221/841/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
180819,https://sofifa.com/player/180819/adam-lallana/220002,A. Lallana,Adam Lallana,Adam Lallana,"CM, CAM, RW",75,75,3500000,49000,33,5/10/1988,178,73,1808,Brighton & Hove Albion,English Premier League,1,SUB,14,NA,7/27/2020,2023,14,England,NA,NA,NA,Right,5,4,2,High/High,Lean (170-185),Yes,6700000,NA,"Injury Prone, Flair, Playmaker (AI), Technical Dribbler (AI)",67,70,78,79,62,56,74,69,64,81,72,80,77,66,75,81,70,64,77,73,75,72,68,34,60,68,71,63,74,80,70,80,61,62,62,6,15,14,8,11,NA,72+2,72+2,72+2,75,75,75,75,75,77-2,77-2,77-2,74+1,74+1,74+1,74+1,74+1,66+2,68+2,68+2,68+2,66+2,65+2,65+2,65+2,65+2,65+2,17+2,https://cdn.sofifa.net/players/180/819/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
193910,https://sofifa.com/player/193910/adam-forshaw/220002,A. Forshaw,Adam Forshaw,Adam Forshaw,"CM, CDM",71,71,1800000,44000,29,10/8/1991,174,71,8,Leeds United,English Premier League,1,SUB,4,NA,1/18/2018,2022,14,England,NA,NA,NA,Right,3,3,1,Medium/High,Normal (170-185),Yes,3400000,NA,"Injury Prone, Playmaker (AI)",65,61,72,72,64,64,64,59,47,77,57,68,68,63,76,75,68,63,76,65,78,66,43,75,59,62,69,64,62,69,62,75,60,73,62,10,7,12,13,16,NA,63+2,63+2,63+2,68,67,67,67,68,69+2,69+2,69+2,69+2,71,71,71,69+2,68+2,70+1,70+1,70+1,68+2,66+2,63+2,63+2,63+2,66+2,17+2,https://cdn.sofifa.net/players/193/910/22_120.png,https://cdn.sofifa.net/teams/8/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
225410,https://sofifa.com/player/225410/adam-masina/220002,A. Masina,Adam Masina,Adam Masina,LB,74,75,4400000,39000,27,1/2/1994,191,87,1795,Watford,English Premier League,1,LB,11,NA,7/2/2018,2023,129,Morocco,NA,NA,NA,Left,3,3,1,Medium/High,Normal (185+),Yes,8700000,NA,Dives Into Tackles (AI),62,42,66,68,72,73,74,30,72,69,37,69,64,35,68,73,54,69,63,69,42,63,64,75,75,46,66,72,58,60,31,72,69,75,76,14,14,13,7,6,NA,59+2,59+2,59+2,62,61,61,61,62,63+2,63+2,63+2,65+2,67+2,67+2,67+2,65+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,72+2,17+2,https://cdn.sofifa.net/players/225/410/22_120.png,https://cdn.sofifa.net/teams/1795/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/ma.png
244288,https://sofifa.com/player/244288/adam-idah/220002,A. Idah,Adam Idah,Adam Idah,ST,67,82,2500000,10000,20,2/11/2001,190,83,1792,Norwich City,English Premier League,1,SUB,35,NA,7/1/2018,2024,25,Republic of Ireland,1355,ST,19,Right,3,2,1,High/Medium,Normal (185+),Yes,6600000,NA,NA,72,68,42,64,22,66,38,69,65,49,62,64,49,30,37,66,69,75,65,63,54,73,66,59,74,61,53,17,68,41,63,64,18,17,11,12,13,9,10,6,NA,67+2,67+2,67+2,61,63,63,63,61,59+2,59+2,59+2,58+2,50+2,50+2,50+2,58+2,41+2,39+2,39+2,39+2,41+2,39+2,38+2,38+2,38+2,39+2,16+2,https://cdn.sofifa.net/players/244/288/22_120.png,https://cdn.sofifa.net/teams/1792/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1355/60.png,https://cdn.sofifa.net/flags/ie.png
207616,https://sofifa.com/player/207616/adam-webster/220002,A. Webster,Adam Webster,Adam Webster,CB,75,80,7500000,44000,26,1/4/1995,191,75,1808,Brighton & Hove Albion,English Premier League,1,RCB,4,NA,8/3/2019,2026,14,England,NA,NA,NA,Right,4,2,1,Medium/Medium,Normal (185+),Yes,14800000,NA,"Leadership, Long Passer (AI)",69,31,59,68,75,74,50,30,76,73,27,66,27,25,70,72,62,74,63,71,57,37,77,69,76,32,72,76,26,53,24,75,75,76,73,10,8,14,7,12,NA,53+2,53+2,53+2,57,55,55,55,57,59+2,59+2,59+2,61+2,64+2,64+2,64+2,61+2,70+2,72+2,72+2,72+2,70+2,71+2,75+2,75+2,75+2,71+2,16+2,https://cdn.sofifa.net/players/207/616/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
213956,https://sofifa.com/player/213956/adama-traore-diarra/220002,Adama Traor<e9>,Adama Traore,Adama Traoré Diarra,"RW, RWB",78,81,18500000,79000,25,1/25/1996,178,72,110,Wolverhampton Wanderers,English Premier League,1,LW,37,NA,8/8/2018,2023,45,Spain,1362,SUB,20,Right,2,4,1,High/Low,Unique,Yes,36500000,"#Speedster, #Dribbler","Flair, Speed Dribbler (AI)",96,66,67,86,38,81,78,66,40,71,52,92,67,42,54,83,97,96,85,66,88,78,79,77,87,65,70,41,64,67,47,73,37,38,35,13,9,11,12,7,NA,72+2,72+2,72+2,78,76,76,76,78,75+2,75+2,75+2,78+2,67+2,67+2,67+2,78+2,64+2,58+2,58+2,58+2,64+2,59+2,53+2,53+2,53+2,59+2,16+2,https://cdn.sofifa.net/players/213/956/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
230899,https://sofifa.com/player/230899/ademola-lookman/220002,A. Lookman,Ademola Lookman,Ademola Lookman,"LM, CAM, ST",77,83,16500000,54000,23,10/20/1997,174,71,95,Leicester City,English Premier League,1,SUB,19,RB Leipzig,NA,2022,14,England,NA,NA,NA,Right,4,4,1,Medium/Medium,Lean (170-185),Yes,NA,#Acrobat,"Flair, Technical Dribbler (AI)",85,73,68,82,29,62,73,74,48,72,60,83,69,51,53,80,87,83,90,69,85,77,64,75,55,70,62,32,74,72,62,76,27,23,24,12,12,9,15,6,NA,72+2,72+2,72+2,77,76,76,76,77,75+2,75+2,75+2,76+2,67+2,67+2,67+2,76+2,57+2,52+2,52+2,52+2,57+2,53+2,43+2,43+2,43+2,53+2,17+2,https://cdn.sofifa.net/players/230/899/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
194911,https://sofifa.com/player/194911/adrian-san-miguel-castillo/220002,Adri<e1>n,Adrian San Miguel del Castillo,Adrián San Miguel del Castillo,GK,74,74,725000,53000,34,1/3/1987,190,80,9,Liverpool,English Premier League,1,RES,13,NA,8/5/2019,2023,45,Spain,NA,NA,NA,Right,2,1,2,Medium/Medium,Normal (185+),Yes,1300000,NA,Saves with Feet,NA,NA,NA,NA,NA,NA,12,16,15,21,12,15,12,17,32,23,46,44,53,71,48,51,69,38,63,20,38,25,12,32,44,59,18,19,14,77,70,68,72,77,45,29+2,29+2,29+2,26,28,28,28,26,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,27+2,29+2,29+2,29+2,27+2,27+2,29+2,29+2,29+2,27+2,73+1,https://cdn.sofifa.net/players/194/911/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/es.png
225782,https://sofifa.com/player/225782/ainsley-maitland-niles/220002,A. Maitland-Niles,Ainsley Maitland-Niles,Ainsley Maitland-Niles,"CDM, RB, RWB",75,81,8.00E+06,49000,23,8/29/1997,177,71,1,Arsenal,English Premier League,1,RES,15,NA,10/24/2014,2023,14,England,NA,NA,NA,Right,3,4,2,Medium/Medium,Lean (170-185),Yes,16800000,NA,Speed Dribbler (AI),81,63,70,77,71,72,69,58,50,75,44,78,64,36,68,76,79,83,79,75,71,72,55,82,69,66,69,73,72,73,69,76,71,77,72,15,9,7,10,13,NA,68+2,68+2,68+2,74,73,73,73,74,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,75+2,74+2,70+2,70+2,70+2,74+2,18+2,https://cdn.sofifa.net/players/225/782/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
240867,https://sofifa.com/player/240867/ajibola-alese/220002,A. Alese,Ajibola Alese,Ajibola Alese,"CB, LB",57,70,375000,6000,20,1/17/2001,185,70,19,West Ham United,English Premier League,1,RES,39,NA,7/4/2018,2023,14,England,NA,NA,NA,Left,3,2,1,Medium/Medium,Normal (185+),Yes,947000,NA,NA,71,35,39,46,56,63,31,31,54,47,34,42,34,27,41,45,74,68,53,52,58,43,73,52,72,35,54,57,39,34,28,53,55,57,55,14,6,14,10,6,NA,46+2,46+2,46+2,45,44,44,44,45,44+2,44+2,44+2,45+2,44+2,44+2,44+2,45+2,51+2,51+2,51+2,51+2,51+2,53+2,57+2,57+2,57+2,53+2,14+2,https://cdn.sofifa.net/players/240/867/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
241928,https://sofifa.com/player/241928/albert-sambi-lokonga/220002,A. Sambi Lokonga,Albert Sambi Lokonga,Albert Sambi Lokonga,"CM, CDM",73,82,7.00E+06,40000,21,10/22/1999,183,73,1,Arsenal,English Premier League,1,SUB,23,NA,7/19/2021,2026,7,Belgium,NA,NA,NA,Right,3,3,1,Medium/Medium,Lean (170-185),No,14700000,NA,Flair,66,58,72,77,67,69,68,53,61,78,58,76,71,68,73,81,63,69,78,66,68,68,71,78,63,63,70,76,63,68,41,78,58,71,68,14,7,6,13,9,NA,65+2,65+2,65+2,70,69,69,69,70,71+2,71+2,71+2,71+2,73+2,73+2,73+2,71+2,72+2,72+2,72+2,72+2,72+2,70+2,68+2,68+2,68+2,70+2,17+2,https://cdn.sofifa.net/players/241/928/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/be.png
213655,https://sofifa.com/player/213655/alex-iwobi/220002,A. Iwobi,Alex Iwobi,Alex Iwobi,"RM, LW",77,79,1.30E+07,68000,25,5/3/1996,185,75,7,Everton,English Premier League,1,SUB,17,NA,8/8/2019,2024,133,Nigeria,NA,NA,NA,Right,3,4,2,High/Medium,Normal (185+),Yes,25700000,NA,"Flair, Technical Dribbler (AI)",77,64,72,80,38,68,72,63,44,77,51,83,70,40,65,80,75,79,77,74,75,72,47,74,72,62,54,35,75,75,59,73,38,41,31,14,7,12,14,11,NA,70+2,70+2,70+2,75,75,75,75,75,75+2,75+2,75+2,76+2,71+2,71+2,71+2,76+2,61+2,58+2,58+2,58+2,61+2,56+2,49+2,49+2,49+2,56+2,18+2,https://cdn.sofifa.net/players/213/655/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/ng.png
247028,https://sofifa.com/player/247028/alex-kral/220002,A. Kr<e1>l,Alex Kral,Alex Král,"CDM, CM",75,83,1.20E+07,37000,23,5/19/1998,186,76,19,West Ham United,English Premier League,1,SUB,33,Spartak Moskva,NA,2022,12,Czech Republic,1330,SUB,21,Right,3,3,1,High/Medium,Lean (185+),No,NA,NA,NA,75,70,71,75,72,79,68,66,72,75,65,75,65,51,72,74,76,75,76,73,77,76,78,88,76,75,76,74,68,71,59,72,72,71,69,11,13,10,11,12,NA,72+2,72+2,72+2,72,72,72,72,72,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,73+2,18+2,https://cdn.sofifa.net/players/247/028/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1330/60.png,https://cdn.sofifa.net/flags/cz.png
189324,https://sofifa.com/player/189324/alex-mccarthy/220002,A. McCarthy,Alex McCarthy,Alex McCarthy,GK,75,75,3.00E+06,34000,31,12/3/1989,193,79,17,Southampton,English Premier League,1,GK,1,NA,8/1/2016,2022,14,England,NA,NA,NA,Right,2,1,1,Medium/Medium,Lean (185+),Yes,5700000,NA,NA,NA,NA,NA,NA,NA,NA,11,17,16,33,12,17,15,18,35,17,58,56,35,71,43,46,68,35,63,14,35,22,16,50,41,61,13,13,12,74,74,61,75,80,57,30+2,30+2,30+2,29,31,31,31,29,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,27+2,30+2,30+2,30+2,27+2,27+2,27+2,27+2,27+2,27+2,74+1,https://cdn.sofifa.net/players/189/324/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png
212462,https://sofifa.com/player/212462/alex-nicolao-telles/220002,Alex Telles,Alex Telles,Alex Telles,LB,82,82,27500000,130000,28,12/15/1992,181,71,11,Manchester United,English Premier League,1,SUB,27,NA,10/5/2020,2024,54,Brazil,NA,NA,NA,Left,2,3,3,High/Medium,Unique,Yes,50900000,#Crosser,"Solid Player, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Team Player",83,73,82,78,77,73,86,63,68,82,62,77,87,79,81,80,81,84,75,81,70,87,81,85,65,83,76,79,75,78,81,77,77,78,76,13,8,12,11,14,NA,75+3,75+3,75+3,78,78,78,78,78,78+3,78+3,78+3,79+3,80+2,80+2,80+2,79+3,81+1,79+3,79+3,79+3,81+1,80+2,76+3,76+3,76+3,80+2,19+3,https://cdn.sofifa.net/players/212/462/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/br.png
